name,url,infos
Climacity,http://www.climacity.org/Axis/,
SABRA,https://www.ropag-data.ch/gechairmo/i_extr.php,
IDAWEB,https://gate.meteoswiss.ch/idaweb,Service MétéoSuisse
VHG,https://vhg.ch/io/web_service_json.php,
